,Title,Artist,Weeks on chart,year,Spotify_Popularity,Artist_Popularity,track_id,track_title,track_artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature,tempo,mode,genre
0,Poor Little Fool,Ricky Nelson,1.0,1955,-1,56,5ayybTSXNwcarDtxQKqvWX,Poor Little Fool - Remastered,Ricky Nelson,0.5429999999999999,0.332,0.0,-11.573,0.0317,0.669,0.0,0.134,0.795,153933.0,4.0,154.999,1.0,"['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'folk rock', 'lounge', 'merseybeat', 'nashville sound', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
1,Patricia,Perez Prado And His Orchestra,nan,1955,-1,12,205EtD8tQnHDXMkmtYiaHF,Patricia,Pérez Prado,0.7040000000000001,0.638,1.0,-9.522,0.0457,0.0862,0.251,0.115,0.8370000000000001,140867.0,4.0,137.396,1.0,"['bolero', 'cuban rumba', 'latin jazz', 'lounge', 'mambo', 'space age pop']"
2,Splish Splash,Bobby Darin,nan,1955,-1,62,40fD7ct05FvQHLdQTgJelG,Splish Splash,Bobby Darin,0.645,0.943,0.0,-1.526,0.0393,0.385,0.0,0.37,0.965,131720.0,4.0,147.768,1.0,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
3,Hard Headed Woman,Elvis Presley With The Jordanaires,nan,1955,-1,-1,32CVurlBxtEYQlDm3yzCLl,Hard Headed Woman,Elvis Presley,0.61,0.6990000000000001,0.0,-8.738999999999999,0.17600000000000002,0.8420000000000001,1.85e-06,0.501,0.8590000000000001,113480.0,4.0,97.924,1.0,"['adult standards', 'christmas', 'rock-and-roll', 'rockabilly']"
4,When,Kalin Twins,nan,1955,-1,24,1BQOMZeYwzesvXANmRgrEp,When - Live,Kalin Twins,0.6459999999999999,0.5820000000000001,6.0,-12.679,0.0297,0.168,4.55e-06,0.976,0.963,144573.0,4.0,96.49,1.0,[]
5,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,nan,1955,-1,-1,4nAJtcmiyoL0ARY5WZY9IN,Rebel Rouser,Duane Eddy,0.38799999999999996,0.434,7.0,-11.997,0.0354,0.789,0.9540000000000001,0.728,0.873,153533.0,4.0,206.313,1.0,"['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'surf music']"
6,Yakety Yak,The Coasters,nan,1955,-1,53,7demHL0GXA6YmTNqw3Btz8,Yakety Yak,The Coasters,0.715,0.669,7.0,-9.491,0.128,0.705,0.000732,0.044000000000000004,0.976,113040.0,4.0,120.789,1.0,"['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
7,My True Love,Jack Scott,nan,1955,-1,32,2urRqmAFhjZKo8Z6sEGzEv,My True Love,Jack Scott,0.5539999999999999,0.18899999999999997,4.0,-14.277000000000001,0.0279,0.915,1.3699999999999998e-05,0.132,0.214,165293.0,3.0,136.714,1.0,"['brill building pop', 'deep adult standards', 'doo-wop', 'rock-and-roll', 'rockabilly']"
8,Willie And The Hand Jive,The Johnny Otis Show,nan,1955,-1,-1,750N0KwpG7D36cXO4gqnOc,Willie And The Hand Jive [In the Style of Johnny Otis Show] {Karaoke Version},The Karaoke Channel,0.897,0.36700000000000005,4.0,-15.751,0.0577,0.0453,0.327,0.14300000000000002,0.9570000000000001,164273.0,4.0,100.755,1.0,['karaoke']
9,Fever,Peggy Lee,nan,1955,-1,64,6eCsRg7OBi1zT2CEKKyoXN,Fever - Remastered,Peggy Lee,0.794,0.0715,7.0,-21.305,0.131,0.38799999999999996,0.0,0.111,0.33299999999999996,202507.0,4.0,68.331,1.0,"['adult standards', 'big band', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'soul', 'swing', 'vocal jazz']"
